label,source,theme,pool,months,included
century:Commodities Momentum,AQR-Century,momentum,heavy,918,True
century:Commodities Carry,AQR-Century,unclassified,none,918,True
century:Commodities Multi-style,AQR-Century,unclassified,none,918,True
century:All Stock Selection Value,AQR-Century,value,heavy,1196,True
century:All Stock Selection Momentum,AQR-Century,momentum,heavy,1190,True
century:All Stock Selection Defensive,AQR-Century,low_risk,heavy,1143,True
century:All Stock Selection Multi-style,AQR-Century,unclassified,none,1196,True
century:All Macro Value,AQR-Century,value,heavy,1196,True
century:All Macro Momentum,AQR-Century,momentum,heavy,1196,True
century:All Macro Carry,AQR-Century,unclassified,none,1196,True
century:All Macro Defensive,AQR-Century,low_risk,heavy,1196,True
century:All Macro Multi-style,AQR-Century,unclassified,none,1196,True
century:All asset classes Value,AQR-Century,value,heavy,1196,True
century:All asset classes Momentum,AQR-Century,momentum,heavy,1196,True
century:All asset classes Carry,AQR-Century,unclassified,none,1196,True
century:All asset classes Defensive,AQR-Century,low_risk,heavy,1196,True
century:All asset classes Multi-style,AQR-Century,unclassified,none,1196,True
century:Equity indices Market,AQR-Century,unclassified,none,1196,True
century:Fixed income Market,AQR-Century,unclassified,none,1196,True
century:Commodities Market,AQR-Century,unclassified,none,1196,True
century:All Macro Market,AQR-Century,unclassified,none,1196,True
french:Mkt-RF:US,French,market,market,1200,True
french:SMB:US,French,size,heavy,1200,True
french:HML:US,French,value,heavy,1200,True
french:Mom:US,French,momentum,heavy,1194,True
french:Mkt-RF:DEV,French,market,market,432,True
french:SMB:DEV,French,size,heavy,432,True
french:HML:DEV,French,value,heavy,432,True
french:Mkt-RF:EU,French,market,market,432,True
french:SMB:EU,French,size,heavy,432,True
french:HML:EU,French,value,heavy,432,True
french:Mkt-RF:JP,French,market,market,432,True
french:SMB:JP,French,size,heavy,432,True
french:HML:JP,French,value,heavy,432,True
french:Mkt-RF:APxJ,French,market,market,432,True
french:SMB:APxJ,French,size,heavy,432,True
french:HML:APxJ,French,value,heavy,432,True
french:Mkt-RF:NA,French,market,market,432,True
french:SMB:NA,French,size,heavy,432,True
french:HML:NA,French,value,heavy,432,True
